epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,1611.83,0.75503,0.37347,0.00101,0.91077,0.88669,0.95456,0.80833,0.60989,0.35236,0.00117,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,1632.98,0.75567,0.36965,0.00094,0.90211,0.89735,0.95304,0.80522,0.60606,0.34431,0.00117,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,1653.35,0.7329,0.36716,0.00098,0.88986,0.89941,0.95246,0.8088,0.59502,0.34955,0.00112,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,1674.35,0.76493,0.38303,0.00101,0.88981,0.89402,0.95056,0.81022,0.5986,0.35398,0.00114,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,1694.81,0.75534,0.382,0.00099,0.90496,0.8924,0.95365,0.81215,0.60244,0.34574,0.00114,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,1715,0.74102,0.36192,0.00095,0.90284,0.89108,0.95431,0.81431,0.5948,0.3374,0.00113,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,1735.64,0.73138,0.36314,0.00092,0.91017,0.88839,0.95504,0.80979,0.59626,0.34127,0.00111,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,1756.2,0.70538,0.35231,0.00093,0.91209,0.89248,0.95489,0.81277,0.586,0.34325,0.00111,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,1776.51,0.7296,0.36967,0.00095,0.8972,0.89886,0.95554,0.81377,0.58766,0.33718,0.00111,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,1796.96,0.72759,0.36857,0.00097,0.90397,0.8798,0.95415,0.81331,0.58819,0.3398,0.0011,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,1817.42,0.73867,0.37154,0.00095,0.90999,0.88932,0.95481,0.81187,0.57817,0.33269,0.00105,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,1837.59,0.70399,0.34983,0.00093,0.91192,0.88583,0.95406,0.80952,0.58972,0.34831,0.00108,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,1858,0.72517,0.35754,0.00094,0.91302,0.8885,0.95525,0.81448,0.58205,0.34988,0.00106,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,1901.14,0.67334,0.32571,0.00085,0.89814,0.89548,0.95263,0.80603,0.60621,0.36427,0.00113,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,1921.44,0.66827,0.31298,0.00086,0.8997,0.88831,0.95233,0.80796,0.60328,0.35044,0.00111,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,1943.2,0.64583,0.31158,0.00085,0.91598,0.87748,0.95268,0.81061,0.59529,0.35621,0.0011,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,1965.19,0.66361,0.31203,0.00085,0.8863,0.90409,0.9538,0.80838,0.5954,0.35627,0.00109,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,1986.15,0.64186,0.30286,0.00083,0.91496,0.87969,0.95492,0.81116,0.59093,0.35534,0.00108,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,2007.09,0.63398,0.31267,0.00083,0.88185,0.90565,0.95438,0.80999,0.59096,0.35529,0.00107,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,2027.47,0.63591,0.30266,0.00083,0.9144,0.8782,0.95463,0.81116,0.58671,0.34757,0.00109,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,2047.54,0.64374,0.30902,0.00081,0.91164,0.88026,0.95476,0.81385,0.58681,0.34742,0.00108,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,2067.43,0.63805,0.30793,0.00083,0.92095,0.88326,0.95649,0.81629,0.58343,0.34182,0.00106,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,2087.55,0.643,0.30607,0.00081,0.91125,0.88238,0.95515,0.81492,0.58418,0.34731,0.00107,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
